Order_ID,Customer_Name,Product,Category,Quantity,Price,Order_Date,City,Sales
ORD-0032,Manish Nair,Python Basics,Books,7,540.69,2023-02-15,Jaipur,3784.83
ORD-0110,Shreya Mishra,Protein Bar,Food,5,104.77,2023-11-17,Delhi,523.85
ORD-0137,Vikram Reddy,Lamp,Home Decor,8,1206.76,2023-07-03,Jaipur,9654.08
ORD-0089,Kiran Agarwal,Chips,Food,5,55.81,2023-03-08,Pune,279.05
ORD-0919,Neha Chopra,Python Basics,Books,5,647.45,2023-09-07,Surat,3237.25
ORD-0854,Manish Kumar,Smart Watch,Electronics,6,4809.266250000001,2023-06-06,Jaipur,28855.6
ORD-0871,Pooja Agarwal,Chocolate,Food,9,144.3,2023-09-17,Surat,1298.7
ORD-0319,Ravi Kumar,Science Textbook,Electronics,6,717.54,2023-09-23,Delhi,4305.24
ORD-0262,Manish Iyer,Photo Frame,Home Decor,5,458.81,2023-08-13,Jaipur,2294.05
ORD-0536,Priya Rao,Art Book,Books,5,623.39,2023-03-16,Bangalore,3116.95
ORD-0920,Deepa Rao,Plant Pot,Home Decor,7,312.21,2023-04-29,Surat,2185.47
ORD-0597,Ananya Joshi,Sunglasses,Clothing,1,840.21,2023-05-16,Hyderabad,840.21
ORD-0077,Kiran Sharma,Curtains,Home Decor,4,2162.76,2023-06-10,Chennai,8651.04
ORD-0108,Rajesh Malhotra,Cookies,Food,4,107.67,2023-12-13,Surat,430.68
ORD-0425,Neha Joshi,Novel,Books,6,260.18,2023-04-11,Bangalore,1561.08
ORD-0585,Amit Joshi,Speaker,Electronics,6,2600.05,2023-04-01,Chennai,15600.3
ORD-0665,Pooja Bose,Tablet,Electronics,7,4809.266250000001,2023-05-12,Pune,33664.86
ORD-0830,Deepa Bose,Camera,Electronics,1,4809.266250000001,2023-10-27,Ahmedabad,4809.27
ORD-0421,Ananya Patel,Protein Bar,Food,4,130.5,2023-07-29,Chennai,522.0
ORD-0598,Rahul Bose,Handbag,Clothing,3,1803.39,2023-03-08,Chennai,5410.17
ORD-0459,Rajesh Mishra,Keyboard,Electronics,9,1300.34,2023-03-07,Kolkata,11703.06
ORD-0313,Neha Patel,T-Shirt,Clothing,6,21.44,2023-09-26,Mumbai,128.64
ORD-0650,Shreya Kapoor,Plant Pot,Home Decor,7,349.84,2023-02-28,Bangalore,2448.88
ORD-0366,Ravi Agarwal,Novel,Books,4,289.75,2023-08-17,Mumbai,1159.0
ORD-0322,Kavya Joshi,Curtains,Home Decor,9,2128.76,2023-12-25,Jaipur,19158.84
ORD-0630,Aarav Nair,Coffee,Food,5,370.29,2023-08-01,Surat,1851.45
ORD-0915,Kavya Pillai,Art Book,Books,6,558.59,2023-09-05,Ahmedabad,3351.54
ORD-0469,Suresh Nair,Tea,Food,10,183.42,2023-11-08,Bangalore,1834.2
ORD-0599,Deepa Mishra,Python Basics,Books,6,544.61,2023-03-24,Bangalore,3267.66
ORD-0395,Deepa Sharma,Mouse,Electronics,8,761.79,2023-06-19,Delhi,6094.32
ORD-0537,Priya Reddy,Shoes,Clothing,6,2762.24,2023-02-01,Mumbai,16573.44
ORD-0721,Shreya Pillai,Tea,Food,6,226.3,2023-11-19,Surat,1357.8
ORD-0334,Deepa Singh,Vase,Home Decor,1,707.86,2023-03-18,Unknown City,707.86
ORD-0410,Amit Verma,Tablet,Electronics,4,4809.266250000001,2023-11-21,Ahmedabad,19237.07
ORD-0060,Pooja Agarwal,Lamp,Home Decor,7,775.56,2023-07-31,Hyderabad,5428.92
ORD-0257,Aarav Patel,Business Strategy,Books,4,565.42,2023-12-06,Jaipur,2261.68
ORD-0970,Amit Agarwal,Smart Watch,Electronics,10,4809.266250000001,2023-04-28,Delhi,48092.66
ORD-0686,Vikram Verma,T-Shirt,Clothing,3,508.51,2023-01-04,Pune,1525.53
ORD-0343,Kavya Chopra,Spices,Food,6,135.29,2023-09-11,Pune,811.74
ORD-0636,Anjali Malhotra,Juice,Food,4,59.05,2023-04-24,Jaipur,236.2
ORD-0709,Ananya Kumar,Business Strategy,Books,7,463.2,2023-02-07,Delhi,3242.4
ORD-0011,Vikram Chopra,Science Textbook,Books,9,556.51,2023-10-01,Chennai,5008.59
ORD-0486,Pooja Kumar,Tea,Food,5,224.07,2023-06-10,Mumbai,1120.35
ORD-0210,Arjun Shah,Chips,Food,2,44.91,2023-07-03,Delhi,89.82
ORD-0140,Unknown Customer,Science Textbook,Books,6,742.0,2023-07-26,Hyderabad,4452.0
ORD-0389,Shreya Nair,Camera,Electronics,2,4809.266250000001,2023-08-22,Ahmedabad,9618.53
ORD-0623,Suresh Joshi,Handbag,Clothing,7,1922.28,2023-09-27,Kolkata,13455.96
ORD-0825,Neha Agarwal,Kurta,Clothing,16,4809.266250000001,2023-06-18,Mumbai,76948.26
ORD-0718,Sneha Shah,Vase,Home Decor,2,911.61,2023-07-28,Surat,1823.22
ORD-0846,Ravi Bose,Spices,Food,3,146.16,2023-07-04,Ahmedabad,438.48
ORD-0688,Sneha Shah,Ml Handbook,Books,7,653.8,2023-02-03,Surat,4576.6
ORD-0936,Anjali Shah,Monitor,Electronics,5,4809.266250000001,2023-06-15,Delhi,24046.33
ORD-0582,Shreya Reddy,Python Basics,Books,3,686.41,2023-04-10,Chennai,2059.23
ORD-0383,Ravi Reddy,Tablet,Electronics,4,4809.266250000001,2023-06-05,Surat,19237.07
ORD-0071,Kiran Gupta,Photo Frame,Home Decor,9,432.67,2023-04-03,Kolkata,3894.03
ORD-0261,Rajesh Mehta,History Book,Books,8,465.53,2023-07-03,Jaipur,3724.24
ORD-0801,Unknown Customer,Spices,Food,5,159.33,2023-10-09,Jaipur,796.65
ORD-0454,Aarav Nair,Vase,Home Decor,2,897.53,2023-09-18,Hyderabad,1795.06
ORD-0592,Rajesh Kapoor,Self Help Book,Books,5,416.9,2023-07-13,Delhi,2084.5
ORD-0907,Vikram Reddy,Saree,Clothing,5,3285.7,2023-03-13,Bangalore,16428.5
ORD-0785,Kiran Verma,Smartphone,Electronics,8,4809.266250000001,2023-09-20,Mumbai,38474.13
ORD-0214,Suresh Nair,History Book,Books,3,412.78,2023-03-24,Hyderabad,1238.34
ORD-0097,Suresh Sharma,Mirror,Home Decor,5,1812.28,2023-07-16,Chennai,9061.4
ORD-0680,Sneha Mishra,Kurta,Clothing,1,887.72,2023-09-21,Unknown City,887.72
ORD-0850,Kavya Sharma,Headphones,Electronics,10,3085.85,2023-09-03,Surat,30858.5
ORD-0640,Pooja Pillai,Sneakers,Clothing,4,2889.56,2023-06-19,Hyderabad,11558.24
ORD-0881,Pooja Gupta,Dress,Clothing,3,1378.98,2023-05-14,Surat,4136.94
ORD-0193,Divya Verma,Headphones,Electronics,10,3360.38,2023-12-25,Hyderabad,33603.8
ORD-0281,Ravi Bose,Handbag,Clothing,1,2234.0,2023-03-09,Ahmedabad,2234.0
ORD-0534,Arjun Gupta,Rug,Home Decor,8,3049.89,2023-12-16,Jaipur,24399.12
ORD-0683,Ananya Reddy,Headphones,Electronics,4,2703.8,2023-03-27,Ahmedabad,10815.2
ORD-0618,Manish Nair,Monitor,Electronics,4,4809.266250000001,2023-10-09,Chennai,19237.07
ORD-0983,Priya Singh,Cookies,Food,8,88.2,2023-04-28,Bangalore,705.6
ORD-0911,Pooja Kapoor,Mirror,Home Decor,5,1848.76,2023-10-17,Bangalore,9243.8
ORD-0185,Suresh Verma,Rug,Home Decor,9,2782.15,2023-08-04,Ahmedabad,25039.35
ORD-0031,Anjali Singh,Self Help Book,Books,2,412.91,2023-12-02,Mumbai,825.82
ORD-0329,Rajesh Mehta,Photo Frame,Home Decor,10,390.35,2023-06-27,Ahmedabad,3903.5
ORD-0507,Divya Kapoor,Wall Art,Home Decor,1,1684.92,2023-12-30,Hyderabad,1684.92
ORD-0055,Kavya Joshi,Novel,Books,9,308.81,2023-03-03,Chennai,2779.29
ORD-0024,Sneha Kapoor,Chips,Food,10,48.0,2023-08-30,Bangalore,480.0
ORD-0102,Anjali Kumar,Clock,Home Decor,2,1040.92,2023-07-11,Mumbai,2081.84
ORD-0550,Aarav Bose,Curtains,Home Decor,1,2163.39,2023-11-28,Pune,2163.39
ORD-0248,Arjun Bose,Plant Pot,Electronics,2,399.0,2023-07-04,Mumbai,798.0
ORD-0004,Sneha Chopra,Keyboard,Electronics,5,1544.4,2023-10-26,Surat,7722.0
ORD-0087,Shreya Chopra,Headphones,Electronics,9,3206.65,2023-09-08,Kolkata,28859.85
ORD-0844,Sneha Reddy,Lamp,Home Decor,2,1365.99,2023-08-12,Ahmedabad,2731.98
ORD-0953,Deepa Iyer,Speaker,Electronics,8,2256.53,2023-02-09,Mumbai,18052.24
ORD-0291,Divya Bose,Python Basics,Books,3,515.49,2023-08-13,Chennai,1546.47
ORD-0211,Deepa Joshi,Jacket,Clothing,8,2029.24,2023-12-27,Kolkata,16233.92
ORD-0803,Rahul Malhotra,Science Textbook,Electronics,4,3068.66,2023-05-29,Surat,12274.64
ORD-0175,Sneha Singh,Spices,Food,8,156.53,2023-05-10,Mumbai,1252.24
ORD-0200,Pooja Agarwal,Mouse,Electronics,7,867.17,2023-05-25,Bangalore,6070.19
ORD-0903,Suresh Reddy,Chocolate,Food,5,135.66,2023-11-11,Kolkata,678.3
ORD-0795,Manish Mishra,Self Help Book,Books,6,342.17,2023-12-10,Jaipur,2053.02
ORD-0064,Ravi Chopra,Ml Handbook,Books,7,669.92,2023-04-13,Pune,4689.44
ORD-0266,Anjali Gupta,Keyboard,Electronics,3,1608.35,2023-07-10,Ahmedabad,4825.05
ORD-0232,Pooja Kumar,Monitor,Electronics,6,4809.266250000001,2023-02-16,Kolkata,28855.6
ORD-0804,Amit Shah,Saree,Clothing,2,3096.04,2023-12-10,Chennai,6192.08
ORD-0626,Divya Mehta,Smart Watch,Electronics,9,4809.266250000001,2023-09-24,Surat,43283.4
ORD-0569,Vikram Agarwal,Spices,Food,5,168.19,2023-04-14,Mumbai,840.95
ORD-0855,Kavya Joshi,Dress,Clothing,1,1367.31,2023-09-07,Delhi,1367.31
ORD-0040,Manish Nair,Honey,Food,1,294.61,2023-05-14,Chennai,294.61
ORD-0807,Rahul Reddy,Novel,Books,7,339.09,2023-02-20,Jaipur,2373.63
ORD-0169,Neha Bose,Biscuits,Electronics,1,68.98,2023-03-01,Jaipur,68.98
ORD-0591,Kavya Nair,T-Shirt,Clothing,7,445.82,2023-03-03,Jaipur,3120.74
ORD-0465,Pooja Iyer,Handbag,Clothing,8,2277.3,2023-06-14,Pune,18218.4
ORD-0999,Priya Sharma,Headphones,Electronics,5,3405.21,2023-03-07,Mumbai,17026.05
ORD-0443,Arjun Singh,Plant Pot,Home Decor,2,336.8,2023-10-29,Pune,673.6
ORD-0909,Suresh Nair,Jeans,Clothing,7,1113.39,2023-03-23,Jaipur,7793.73
ORD-0067,Suresh Singh,Rug,Home Decor,7,2676.83,2023-10-19,Bangalore,18737.81
ORD-0308,Divya Sharma,Mouse,Electronics,1,757.51,2023-12-02,Delhi,757.51
ORD-0068,Deepa Mishra,Shoes,Clothing,4,2726.65,2023-08-23,Jaipur,10906.6
ORD-0199,Kavya Chopra,Cookbook,Books,5,446.45,2023-03-02,Pune,2232.25
ORD-0529,Priya Agarwal,Sneakers,Clothing,5,2600.74,2023-01-29,Mumbai,13003.7
ORD-0482,Aarav Agarwal,Sneakers,Clothing,4,3176.17,2023-09-20,Jaipur,12704.68
ORD-0758,Anjali Singh,Keyboard,Electronics,6,1515.06,2023-10-07,Kolkata,9090.36
ORD-0988,Kiran Reddy,Saree,Clothing,5,2941.34,2023-12-12,Ahmedabad,14706.7
ORD-0363,Neha Iyer,Jeans,Clothing,2,1184.97,2023-08-18,Chennai,2369.94
ORD-0845,Rahul Gupta,Sunglasses,Clothing,2,715.68,2023-05-22,Mumbai,1431.36
ORD-0559,Anjali Kapoor,Jacket,Clothing,9,2153.08,2023-01-25,Chennai,19377.72
ORD-0619,Vikram Singh,Novel,Books,7,327.56,2023-07-03,Chennai,2292.92
ORD-0353,Divya Iyer,Wall Art,Home Decor,3,1571.41,2023-04-25,Ahmedabad,4714.23
ORD-0761,Ananya Verma,Headphones,Electronics,7,2686.51,2023-03-15,Hyderabad,18805.57
ORD-0930,Unknown Customer,Juice,Food,7,55.64,2023-07-18,Pune,389.48
ORD-0293,Vikram Mishra,T-Shirt,Clothing,9,548.39,2023-11-09,Chennai,4935.51
ORD-0753,Neha Kumar,Smart Watch,Electronics,2,4809.266250000001,2023-03-22,Ahmedabad,9618.53
ORD-0101,Rahul Patel,Protein Bar,Food,8,103.13,2023-04-13,Bangalore,825.04
ORD-0492,Shreya Iyer,Art Book,Books,4,569.82,2023-04-18,Bangalore,2279.28
ORD-0833,Shreya Mehta,Juice,Food,2,53.54,2023-10-18,Jaipur,107.08
ORD-0809,Suresh Verma,Sunglasses,Clothing,2,788.2,2023-10-25,Delhi,1576.4
ORD-0306,Neha Bose,Clock,Home Decor,8,1142.76,2023-02-02,Mumbai,9142.08
ORD-0629,Amit Agarwal,Shoes,Clothing,4,2152.51,2023-03-23,Surat,8610.04
ORD-0159,Deepa Bose,Speaker,Electronics,2,2303.23,2023-11-16,Kolkata,4606.46
ORD-0552,Unknown Customer,Kurta,Clothing,9,884.52,2023-07-19,Delhi,7960.68
ORD-0003,Anjali Verma,Cookbook,Books,8,427.84,2023-01-19,Jaipur,3422.72
ORD-0729,Sneha Sharma,Lamp,Home Decor,10,1092.59,2023-10-01,Ahmedabad,10925.9
ORD-0209,Anjali Mehta,Python Basics,Books,8,510.91,2023-04-14,Ahmedabad,4087.28
ORD-0300,Divya Agarwal,Sneakers,Clothing,9,2626.81,2023-09-05,Delhi,23641.29
ORD-0851,Pooja Patel,Juice,Food,9,52.21,2023-08-25,Bangalore,469.89
ORD-0437,Divya Joshi,Keyboard,Electronics,3,1307.74,2023-12-11,Jaipur,3923.22
ORD-0870,Priya Joshi,Smartphone,Electronics,4,4809.266250000001,2023-01-10,Delhi,19237.07
ORD-0412,Rahul Joshi,Novel,Books,8,340.51,2023-10-08,Jaipur,2724.08
ORD-0615,Kavya Singh,Clock,Home Decor,5,1112.07,2023-06-04,Chennai,5560.35
ORD-0908,Kavya Patel,Lamp,Home Decor,6,1143.05,2023-08-17,Bangalore,6858.3
ORD-0913,Suresh Gupta,Lamp,Home Decor,3,1244.69,2023-12-04,Mumbai,3734.07
ORD-0997,Ananya Agarwal,Ml Handbook,Books,8,787.64,2023-05-05,Ahmedabad,6301.12
ORD-0963,Kiran Joshi,Chips,Food,1,46.18,2023-09-04,Hyderabad,46.18
ORD-0701,Manish Kumar,Juice,Food,2,60.59,2023-02-06,Hyderabad,121.18
ORD-0779,Kiran Kapoor,Ml Handbook,Books,1,746.21,2023-06-06,Hyderabad,746.21
ORD-0307,Amit Agarwal,Handbag,Clothing,8,2009.78,2023-05-14,Mumbai,16078.24
ORD-0921,Sneha Kumar,Science Textbook,Home Decor,2,388.69,2023-02-02,Ahmedabad,777.38
ORD-0494,Divya Verma,Cookbook,Books,2,362.57,2023-05-29,Ahmedabad,725.14
ORD-0424,Ravi Kumar,Self Help Book,Books,4,399.33,2023-11-09,Chennai,1597.32
ORD-0299,Pooja Chopra,Cookbook,Books,6,414.75,2023-03-08,Bangalore,2488.5
ORD-0468,Arjun Kumar,Science Textbook,Books,7,721.88,2023-08-03,Kolkata,5053.16
ORD-0885,Kiran Pillai,Jeans,Clothing,2,1307.97,2023-12-01,Pune,2615.94
ORD-0756,Vikram Shah,Art Book,Books,10,598.51,2023-03-11,Bangalore,5985.1
ORD-0107,Divya Verma,Science Textbook,Clothing,8,2919.34,2023-01-10,Pune,23354.72
ORD-0859,Priya Reddy,Science Textbook,Books,4,662.64,2023-11-27,Surat,2650.56
ORD-0056,Amit Pillai,Honey,Food,2,337.97,2023-12-15,Kolkata,675.94
ORD-0121,Pooja Gupta,Chocolate,Food,6,163.83,2023-06-06,Delhi,982.98
ORD-0311,Rahul Mishra,Ml Handbook,Electronics,2,687.18,2023-12-27,Mumbai,1374.36
ORD-0026,Deepa Agarwal,Jacket,Clothing,5,2171.11,2023-05-13,Jaipur,10855.55
ORD-0073,Deepa Pillai,Curtains,Home Decor,9,1703.31,2023-09-07,Bangalore,15329.79
ORD-0531,Deepa Joshi,Photo Frame,Home Decor,5,437.55,2023-05-17,Jaipur,2187.75
ORD-0045,Ravi Kumar,Speaker,Electronics,5,2319.08,2023-08-29,Hyderabad,11595.4
ORD-0276,Arjun Gupta,Coffee,Food,9,400.18,2023-09-02,Mumbai,3601.62
ORD-0479,Divya Verma,Jacket,Clothing,5,2281.58,2023-07-31,Pune,11407.9
ORD-0315,Suresh Mehta,Novel,Books,1,330.24,2023-10-17,Pune,330.24
ORD-0337,Manish Kapoor,Speaker,Electronics,1,2766.6,2023-01-28,Delhi,2766.6
ORD-0690,Sneha Nair,Science Textbook,Home Decor,9,1631.0,2023-12-10,Hyderabad,14679.0
ORD-0431,Priya Joshi,Self Help Book,Books,6,357.16,2023-04-08,Bangalore,2142.96
ORD-0951,Unknown Customer,Sunglasses,Clothing,4,824.12,2023-10-28,Kolkata,3296.48
ORD-0834,Kavya Malhotra,Jacket,Clothing,3,1805.83,2023-07-06,Ahmedabad,5417.49
ORD-0589,Unknown Customer,Protein Bar,Food,1,775.56,2023-03-30,Surat,775.56
ORD-0704,Vikram Kapoor,Biscuits,Food,5,71.23,2023-01-13,Ahmedabad,356.15
ORD-0328,Shreya Singh,Dress,Clothing,1,1550.27,2023-09-04,Mumbai,1550.27
ORD-0993,Divya Kumar,Dress,Clothing,1,1397.47,2023-03-24,Pune,1397.47
ORD-0604,Anjali Chopra,Data Science Guide,Books,2,701.29,2023-08-27,Surat,1402.58
ORD-0928,Ananya Mishra,Business Strategy,Books,10,506.25,2023-09-23,Chennai,5062.5
ORD-0981,Neha Verma,Data Science Guide,Books,1,760.22,2023-03-02,Pune,760.22
ORD-0972,Deepa Kapoor,Science Textbook,Clothing,10,2262.1,2023-09-21,Bangalore,22621.0
ORD-0763,Shreya Bose,Novel,Books,6,277.36,2023-12-13,Jaipur,1664.16
ORD-0332,Ananya Agarwal,Camera,Electronics,1,4809.266250000001,2023-11-25,Pune,4809.27
ORD-0061,Rahul Kapoor,Laptop,Electronics,3,4809.266250000001,2023-01-28,Pune,14427.8
ORD-0746,Rahul Mishra,Smartphone,Electronics,1,4809.266250000001,2023-05-25,Mumbai,4809.27
ORD-0372,Anjali Iyer,Mirror,Home Decor,3,1539.84,2023-02-22,Kolkata,4619.52
ORD-0093,Kavya Bose,Python Basics,Books,8,646.94,2023-08-08,Bangalore,5175.52
ORD-0723,Unknown Customer,Mirror,Home Decor,9,775.56,2023-08-10,Surat,6980.04
ORD-0491,Ravi Mishra,Smart Watch,Electronics,6,4809.266250000001,2023-04-13,Hyderabad,28855.6
ORD-0463,Suresh Singh,Protein Bar,Food,5,128.86,2023-11-04,Hyderabad,644.3
ORD-0219,Sneha Nair,Wall Art,Home Decor,5,1567.33,2023-12-19,Jaipur,7836.65
ORD-0514,Manish Verma,Science Textbook,Clothing,2,887.86,2023-12-08,Kolkata,1775.72
ORD-0621,Vikram Agarwal,Dress,Clothing,2,1358.03,2023-12-29,Ahmedabad,2716.06
ORD-0426,Neha Chopra,Monitor,Electronics,7,4809.266250000001,2023-04-07,Jaipur,33664.86
ORD-0333,Sneha Gupta,Science Textbook,Books,2,555.31,2023-07-17,Hyderabad,1110.62
ORD-0860,Shreya Verma,Ml Handbook,Books,3,608.8,2023-11-07,Jaipur,1826.4
ORD-0990,Vikram Chopra,Speaker,Electronics,8,2739.33,2023-09-03,Ahmedabad,21914.64
ORD-0583,Suresh Singh,Tablet,Electronics,1,4809.266250000001,2023-05-31,Bangalore,4809.27
ORD-0356,Suresh Joshi,Vase,Home Decor,6,834.18,2023-07-13,Kolkata,5005.08
ORD-0483,Anjali Gupta,Mirror,Home Decor,9,1775.45,2023-06-03,Bangalore,15979.05
ORD-0546,Unknown Customer,Sunglasses,Clothing,1,765.96,2023-11-12,Pune,765.96
ORD-0111,Vikram Singh,Monitor,Electronics,3,4809.266250000001,2023-05-08,Jaipur,14427.8
ORD-0515,Shreya Patel,Cookbook,Books,9,345.43,2023-12-30,Mumbai,3108.87
ORD-0603,Sneha Singh,Headphones,Electronics,10,2709.31,2023-06-19,Surat,27093.1
ORD-0996,Amit Gupta,Laptop,Electronics,5,775.56,2023-01-12,Mumbai,3877.8
ORD-0508,Arjun Rao,Mirror,Home Decor,3,1974.17,2023-03-01,Kolkata,5922.51
ORD-0335,Rajesh Sharma,Saree,Clothing,1,2591.4,2023-10-13,Mumbai,2591.4
ORD-0849,Anjali Bose,Kurta,Clothing,2,800.53,2023-06-19,Hyderabad,1601.06
ORD-0295,Aarav Malhotra,Plant Pot,Home Decor,1,310.84,2023-07-03,Hyderabad,310.84
ORD-0287,Anjali Kapoor,Science Textbook,Books,3,643.29,2023-10-30,Pune,1929.87
ORD-0939,Ananya Verma,Ml Handbook,Books,5,619.73,2023-09-24,Delhi,3098.65
ORD-0448,Rahul Agarwal,Novel,Books,9,322.8,2023-09-29,Surat,2905.2
ORD-0693,Ananya Agarwal,Protein Bar,Food,4,120.27,2023-12-17,Bangalore,481.08
ORD-0653,Rahul Kumar,Mouse,Electronics,10,820.84,2023-08-17,Kolkata,8208.4
ORD-0969,Arjun Chopra,Wall Art,Home Decor,1,1529.88,2023-03-26,Hyderabad,1529.88
ORD-0278,Ravi Joshi,Keyboard,Electronics,2,1567.48,2023-11-29,Kolkata,3134.96
ORD-0759,Amit Nair,Tablet,Electronics,6,4809.266250000001,2023-06-01,Pune,28855.6
ORD-0138,Vikram Patel,Shoes,Clothing,3,2652.26,2023-04-07,Mumbai,7956.78
ORD-0502,Unknown Customer,Headphones,Electronics,6,3032.49,2023-09-15,Pune,18194.94
ORD-0405,Priya Nair,Data Science Guide,Books,5,756.81,2023-12-04,Mumbai,3784.05
ORD-0524,Suresh Agarwal,Monitor,Electronics,7,775.56,2023-01-13,Surat,5428.92
ORD-0781,Divya Patel,Plant Pot,Home Decor,4,370.36,2023-06-26,Bangalore,1481.44
ORD-0978,Arjun Pillai,Biscuits,Food,6,69.23,2023-03-22,Delhi,415.38
ORD-0581,Neha Nair,Smartphone,Electronics,7,4809.266250000001,2023-04-11,Jaipur,33664.86
ORD-0238,Deepa Chopra,T-Shirt,Clothing,3,428.65,2023-04-29,Ahmedabad,1285.95
ORD-0989,Rahul Nair,Smart Watch,Electronics,8,4809.266250000001,2023-09-03,Ahmedabad,38474.13
ORD-0216,Kavya Pillai,Kurta,Clothing,10,736.94,2023-10-08,Delhi,7369.4
ORD-0895,Kavya Chopra,Saree,Clothing,3,3151.28,2023-09-19,Hyderabad,9453.84
ORD-0245,Deepa Mehta,Vase,Home Decor,7,683.71,2023-03-31,Delhi,4785.97
ORD-0553,Arjun Shah,Protein Bar,Food,4,121.87,2023-05-02,Ahmedabad,487.48
ORD-0838,Pooja Gupta,Biscuits,Food,3,76.7,2023-01-03,Ahmedabad,230.1
ORD-0864,Ravi Mehta,Keyboard,Electronics,9,1473.34,2023-10-03,Surat,13260.06
ORD-0668,Manish Mishra,Photo Frame,Home Decor,5,359.28,2023-01-13,Jaipur,1796.4
ORD-0622,Aarav Patel,Tea,Food,5,182.56,2023-06-12,Ahmedabad,912.8
ORD-0079,Shreya Sharma,Self Help Book,Books,1,383.02,2023-01-30,Jaipur,383.02
ORD-0030,Deepa Kumar,Clock,Home Decor,8,863.94,2023-06-21,Surat,6911.52
