Order_ID,Customer_Name,Product,Category,Quantity,Price,Order_Date,City
ORD-0032,Manish Nair,Python Basics,Books,7.0,540.69,2023-02-15,Jaipur
ORD-0110,Shreya Mishra,Protein Bar,Food,5.0,104.77,2023-11-17,Delhi
ORD-0137,Vikram Reddy,Lamp,Home Decor,8.0,1206.76,2023-07-03,pink city
ORD-0089,Kiran Agarwal,chips,Food,5.0,55.81,2023-03-08,Poona
ORD-0919,Neha Chopra,PYTHON BASICS,Books,5.0,647.45,2023-09-07,Suart
ORD-0854,Manish Kumar,smart watch,Electronics,6.0,8955.33,2023-06-06,Jaipur 
ORD-0871,Pooja Agarwal,Chocolate,Food,9.0,144.3,2023-09-17,Suart
ORD-0319,Ravi Kumar,,Electronics,6.0,717.54,2023-09-23,delhi
ORD-0262,Manish Iyer,photo frame,Home Decor,5.0,458.81,2023-08-13,Pink City
ORD-0536,Priya Rao,Art Book,Books,5.0,623.39,2023-03-16,Banglore
ORD-0920,Deepa Rao,Plant Pot,Home Decor,7.0,312.21,2023-04-29,surat
ORD-0597,Ananya Joshi,Sunglasses,Clothing,1.0,840.21,2023-05-16,hyderabad
ORD-0077,Kiran Sharma,curtains,Home Decor,4.0,2162.76,2023-06-10,madras
ORD-0108,Rajesh Malhotra,Cookies,Food,4.0,107.67,2023-12-13,surat
ORD-0425,Neha Joshi,Novel,Books,6.0,260.18,2023-04-11,bengaluru
ORD-0585,Amit Joshi,Speaker,Electronics,6.0,2600.05,2023-04-01,chennai
ORD-0854,Manish Kumar,smart watch,Electronics,6.0,8955.33,2023-06-06,Jaipur 
ORD-0665,Pooja Bose,tablet,Electronics,7.0,15849.63,2023-05-12,Pun
ORD-0830,Deepa Bose,Camera,Electronics,1.0,34498.29,2023-10-27,amdavad
ORD-0421,Ananya Patel,Protein Bar,Food,4.0,130.5,2023-07-29,madras
ORD-0598,Rahul Bose,Handbag,Clothing,3.0,1803.39,2023-03-08,Chennai
ORD-0459,Rajesh Mishra,Keyboard,Electronics,9.0,1300.34,2023-03-07,kolkata
ORD-0313,Neha Patel,T-Shirt,Clothing,6.0,21.44,2023-09-26,Mumabi
ORD-0650,Shreya Kapoor,Plant Pot,Home Decor,7.0,349.84,2023-02-28,bengaluru
ORD-0366,Ravi Agarwal,Novel,Books,4.0,289.75,2023-08-17,Mumabi
ORD-0322,Kavya Joshi,curtains,Home Decor,9.0,2128.76,2023-12-25,Pink City
ORD-0630,Aarav Nair,Coffee,Food,5.0,370.29,2023-08-01,surat 
ORD-0915,Kavya Pillai,Art Book,Books,6.0,558.59,2023-09-05,Ahmadabad
ORD-0469,Suresh Nair,Tea,Food,10.0,183.42,2023-11-08,Bengaluru
ORD-0599,Deepa Mishra,Python Basics,Books,6.0,544.61,2023-03-24,bangalore
ORD-0395,Deepa Sharma,Mouse,Electronics,8.0,761.79,2023-06-19,Delhi
ORD-0537,Priya Reddy,Shoes,Clothing,6.0,2762.24,2023-02-01,Mumabi
ORD-0721,Shreya Pillai,Tea,Food,6.0,226.3,2023-11-19,SURT
ORD-0334,Deepa Singh,VASE,Home Decor,1.0,707.86,2023-03-18,
ORD-0410,Amit Verma,tablet,Electronics,4.0,15792.95,2023-11-21,Ahmadabad
ORD-0060,Pooja Agarwal,Lamp,Home Decor,7.0,,2023-07-31,hyd
ORD-0257,Aarav Patel,Business Strategy,Books,4.0,565.42,2023-12-06,jaipur
ORD-0970,Amit Agarwal,Smart Watch,Electronics,10.0,7942.52,2023-04-28,new delhi
ORD-0686,Vikram Verma,T-Shirt,Clothing,3.0,508.51,2023-01-04,Poona
ORD-0343,Kavya Chopra,Spices,Food,6.0,135.29,2023-09-11,PUNE
ORD-0636,Anjali Malhotra,Juice,Food,4.0,59.05,2023-04-24,Pink City
ORD-0709,Ananya Kumar,Business Strategy,Books,7.0,463.2,2023-02-07,New Delhi
ORD-0011,Vikram Chopra,Science Textbook,Books,9.0,556.51,2023-10-01,Madras
ORD-0486,Pooja Kumar,Tea,Food,5.0,224.07,2023-06-10,Mumbai 
ORD-0210,Arjun Shah,Chips ,Food,2.0,44.91,2023-07-03,New Delhi
ORD-0140,,Science Textbook,Books,6.0,742.0,2023-07-26,Hyderabad
ORD-0389,Shreya Nair,Camera,Electronics,2.0,37631.45,2023-08-22,amdavad
ORD-0623,Suresh Joshi,Handbag,Clothing,7.0,1922.28,2023-09-27,Calcutta
ORD-0825,Neha Agarwal,Kurta,Clothing,116.0,12134.550000000001,2023-06-18,Mumbai
ORD-0718,Sneha Shah,Vase ,Home Decor,2.0,911.61,2023-07-28,SURT
ORD-0846,Ravi Bose,spices,Food,3.0,146.16,2023-07-04,Ahmedabad
ORD-0688,Sneha Shah,ML Handbook,Books,7.0,653.8,2023-02-03,Surat
ORD-0936,Anjali Shah,Monitor,Electronics,5.0,13975.38,2023-06-15,delhi
ORD-0582,Shreya Reddy,Python Basics,Books,3.0,686.41,2023-04-10,Channai
